dataset,legislature,sample,segment,pshift,shift_class,frequency,probability,source_file,change_of_speaker,directed_remark,p_s_given_d,p_s_given_d_c
final_dataset,1,1,2,A0-AY,Turn Continuing,0,0.0,legislature_1_sample_1_segment_2_stats.json,False,False,0.0,0.0
final_dataset,1,1,2,AB-BA,Turn Receiving,0,0.0,legislature_1_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,1,1,2,AB-B0,Turn Receiving,14,0.17,legislature_1_sample_1_segment_2_stats.json,True,True,0.74,0.88
final_dataset,1,1,2,AB-X0,Turn Usurping,2,0.02,legislature_1_sample_1_segment_2_stats.json,True,True,0.11,0.12
final_dataset,1,1,2,AB-XA,Turn Usurping,0,0.0,legislature_1_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,1,1,2,AB-XB,Turn Usurping,0,0.0,legislature_1_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,1,1,2,AB-A0,Turn Continuing,3,0.04,legislature_1_sample_1_segment_2_stats.json,False,True,0.16,0.0
final_dataset,1,1,2,AB-BY,Turn Receiving,0,0.0,legislature_1_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,1,1,2,AB-XY,Turn Usurping,0,0.0,legislature_1_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,1,1,2,AB-AY,Turn Continuing,0,0.0,legislature_1_sample_1_segment_2_stats.json,False,True,0.0,0.0
final_dataset,1,1,3,A0-XA,Turn Claiming,14,0.17,legislature_1_sample_1_segment_3_stats.json,True,False,0.2,0.2
final_dataset,1,1,3,A0-X0,Turn Claiming,56,0.67,legislature_1_sample_1_segment_3_stats.json,True,False,0.8,0.8
final_dataset,1,1,3,A0-XY,Turn Claiming,0,0.0,legislature_1_sample_1_segment_3_stats.json,True,False,0.0,0.0
final_dataset,1,1,3,A0-AY,Turn Continuing,0,0.0,legislature_1_sample_1_segment_3_stats.json,False,False,0.0,0.0
final_dataset,1,1,3,AB-BA,Turn Receiving,0,0.0,legislature_1_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,1,1,3,AB-B0,Turn Receiving,11,0.13,legislature_1_sample_1_segment_3_stats.json,True,True,0.79,0.85
final_dataset,1,1,3,AB-X0,Turn Usurping,2,0.02,legislature_1_sample_1_segment_3_stats.json,True,True,0.14,0.15
final_dataset,1,1,3,AB-XA,Turn Usurping,0,0.0,legislature_1_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,1,1,3,AB-XB,Turn Usurping,0,0.0,legislature_1_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,1,1,3,AB-A0,Turn Continuing,1,0.01,legislature_1_sample_1_segment_3_stats.json,False,True,0.07,0.0
final_dataset,1,1,3,AB-BY,Turn Receiving,0,0.0,legislature_1_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,1,1,3,AB-XY,Turn Usurping,0,0.0,legislature_1_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,1,1,3,AB-AY,Turn Continuing,0,0.0,legislature_1_sample_1_segment_3_stats.json,False,True,0.0,0.0
final_dataset,1,2,1,A0-XA,Turn Claiming,19,0.24,legislature_1_sample_2_segment_1_stats.json,True,False,0.32,0.32
final_dataset,1,2,1,A0-X0,Turn Claiming,41,0.51,legislature_1_sample_2_segment_1_stats.json,True,False,0.68,0.68
final_dataset,1,2,1,A0-XY,Turn Claiming,0,0.0,legislature_1_sample_2_segment_1_stats.json,True,False,0.0,0.0
final_dataset,1,2,1,A0-AY,Turn Continuing,0,0.0,legislature_1_sample_2_segment_1_stats.json,False,False,0.0,0.0
final_dataset,1,2,1,AB-BA,Turn Receiving,2,0.02,legislature_1_sample_2_segment_1_stats.json,True,True,0.1,0.1
final_dataset,1,2,1,AB-B0,Turn Receiving,15,0.19,legislature_1_sample_2_segment_1_stats.json,True,True,0.75,0.75
final_dataset,1,2,1,AB-X0,Turn Usurping,2,0.02,legislature_1_sample_2_segment_1_stats.json,True,True,0.1,0.1
final_dataset,1,2,1,AB-XA,Turn Usurping,1,0.01,legislature_1_sample_2_segment_1_stats.json,True,True,0.05,0.05
final_dataset,1,2,1,AB-XB,Turn Usurping,0,0.0,legislature_1_sample_2_segment_1_stats.json,True,True,0.0,0.0
final_dataset,1,2,1,AB-A0,Turn Continuing,0,0.0,legislature_1_sample_2_segment_1_stats.json,False,True,0.0,0.0
final_dataset,1,2,1,AB-BY,Turn Receiving,0,0.0,legislature_1_sample_2_segment_1_stats.json,True,True,0.0,0.0
final_dataset,1,2,1,AB-XY,Turn Usurping,0,0.0,legislature_1_sample_2_segment_1_stats.json,True,True,0.0,0.0
final_dataset,1,2,1,AB-AY,Turn Continuing,0,0.0,legislature_1_sample_2_segment_1_stats.json,False,True,0.0,0.0
final_dataset,1,2,2,A0-XA,Turn Claiming,15,0.19,legislature_1_sample_2_segment_2_stats.json,True,False,0.23,0.23
final_dataset,1,2,2,A0-X0,Turn Claiming,50,0.62,legislature_1_sample_2_segment_2_stats.json,True,False,0.77,0.77
final_dataset,1,2,2,A0-XY,Turn Claiming,0,0.0,legislature_1_sample_2_segment_2_stats.json,True,False,0.0,0.0
final_dataset,1,2,2,A0-AY,Turn Continuing,0,0.0,legislature_1_sample_2_segment_2_stats.json,False,False,0.0,0.0
final_dataset,1,2,2,AB-BA,Turn Receiving,1,0.01,legislature_1_sample_2_segment_2_stats.json,True,True,0.06,0.06
final_dataset,1,2,2,AB-B0,Turn Receiving,8,0.1,legislature_1_sample_2_segment_2_stats.json,True,True,0.5,0.5
final_dataset,1,2,2,AB-X0,Turn Usurping,6,0.07,legislature_1_sample_2_segment_2_stats.json,True,True,0.38,0.38
final_dataset,1,2,2,AB-XA,Turn Usurping,1,0.01,legislature_1_sample_2_segment_2_stats.json,True,True,0.06,0.06
final_dataset,1,2,2,AB-XB,Turn Usurping,0,0.0,legislature_1_sample_2_segment_2_stats.json,True,True,0.0,0.0
final_dataset,1,2,2,AB-A0,Turn Continuing,0,0.0,legislature_1_sample_2_segment_2_stats.json,False,True,0.0,0.0
final_dataset,1,2,2,AB-BY,Turn Receiving,0,0.0,legislature_1_sample_2_segment_2_stats.json,True,True,0.0,0.0
final_dataset,1,2,2,AB-XY,Turn Usurping,0,0.0,legislature_1_sample_2_segment_2_stats.json,True,True,0.0,0.0
final_dataset,1,2,2,AB-AY,Turn Continuing,0,0.0,legislature_1_sample_2_segment_2_stats.json,False,True,0.0,0.0
final_dataset,1,2,3,A0-XA,Turn Claiming,14,0.17,legislature_1_sample_2_segment_3_stats.json,True,False,0.22,0.22
final_dataset,1,2,3,A0-X0,Turn Claiming,51,0.63,legislature_1_sample_2_segment_3_stats.json,True,False,0.78,0.78
final_dataset,1,2,3,A0-XY,Turn Claiming,0,0.0,legislature_1_sample_2_segment_3_stats.json,True,False,0.0,0.0
final_dataset,1,2,3,A0-AY,Turn Continuing,0,0.0,legislature_1_sample_2_segment_3_stats.json,False,False,0.0,0.0
final_dataset,1,2,3,AB-BA,Turn Receiving,0,0.0,legislature_1_sample_2_segment_3_stats.json,True,True,0.0,0.0
final_dataset,1,2,3,AB-B0,Turn Receiving,2,0.02,legislature_1_sample_2_segment_3_stats.json,True,True,0.12,0.12
final_dataset,1,2,3,AB-X0,Turn Usurping,11,0.14,legislature_1_sample_2_segment_3_stats.json,True,True,0.69,0.69
final_dataset,1,2,3,AB-XA,Turn Usurping,3,0.04,legislature_1_sample_2_segment_3_stats.json,True,True,0.19,0.19
final_dataset,1,2,3,AB-XB,Turn Usurping,0,0.0,legislature_1_sample_2_segment_3_stats.json,True,True,0.0,0.0
final_dataset,1,2,3,AB-A0,Turn Continuing,0,0.0,legislature_1_sample_2_segment_3_stats.json,False,True,0.0,0.0
final_dataset,1,2,3,AB-BY,Turn Receiving,0,0.0,legislature_1_sample_2_segment_3_stats.json,True,True,0.0,0.0
final_dataset,1,2,3,AB-XY,Turn Usurping,0,0.0,legislature_1_sample_2_segment_3_stats.json,True,True,0.0,0.0
final_dataset,1,2,3,AB-AY,Turn Continuing,0,0.0,legislature_1_sample_2_segment_3_stats.json,False,True,0.0,0.0
final_dataset,2,1,1,A0-XA,Turn Claiming,12,0.15,legislature_2_sample_1_segment_1_stats.json,True,False,0.18,0.18
final_dataset,2,1,1,A0-X0,Turn Claiming,54,0.68,legislature_2_sample_1_segment_1_stats.json,True,False,0.82,0.82
final_dataset,2,1,1,A0-XY,Turn Claiming,0,0.0,legislature_2_sample_1_segment_1_stats.json,True,False,0.0,0.0
final_dataset,2,1,1,A0-AY,Turn Continuing,0,0.0,legislature_2_sample_1_segment_1_stats.json,False,False,0.0,0.0
final_dataset,2,1,1,AB-BA,Turn Receiving,0,0.0,legislature_2_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,2,1,1,AB-B0,Turn Receiving,6,0.08,legislature_2_sample_1_segment_1_stats.json,True,True,0.43,0.5
final_dataset,2,1,1,AB-X0,Turn Usurping,5,0.06,legislature_2_sample_1_segment_1_stats.json,True,True,0.36,0.42
final_dataset,2,1,1,AB-XA,Turn Usurping,1,0.01,legislature_2_sample_1_segment_1_stats.json,True,True,0.07,0.08
final_dataset,2,1,1,AB-XB,Turn Usurping,0,0.0,legislature_2_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,2,1,1,AB-A0,Turn Continuing,2,0.02,legislature_2_sample_1_segment_1_stats.json,False,True,0.14,0.0
final_dataset,2,1,1,AB-BY,Turn Receiving,0,0.0,legislature_2_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,2,1,1,AB-XY,Turn Usurping,0,0.0,legislature_2_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,2,1,1,AB-AY,Turn Continuing,0,0.0,legislature_2_sample_1_segment_1_stats.json,False,True,0.0,0.0
final_dataset,2,1,2,A0-XA,Turn Claiming,16,0.2,legislature_2_sample_1_segment_2_stats.json,True,False,0.24,0.24
final_dataset,2,1,2,A0-X0,Turn Claiming,52,0.63,legislature_2_sample_1_segment_2_stats.json,True,False,0.76,0.76
final_dataset,2,1,2,A0-XY,Turn Claiming,0,0.0,legislature_2_sample_1_segment_2_stats.json,True,False,0.0,0.0
final_dataset,2,1,2,A0-AY,Turn Continuing,0,0.0,legislature_2_sample_1_segment_2_stats.json,False,False,0.0,0.0
final_dataset,2,1,2,AB-BA,Turn Receiving,0,0.0,legislature_2_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,2,1,2,AB-B0,Turn Receiving,11,0.13,legislature_2_sample_1_segment_2_stats.json,True,True,0.79,0.79
final_dataset,2,1,2,AB-X0,Turn Usurping,3,0.04,legislature_2_sample_1_segment_2_stats.json,True,True,0.21,0.21
final_dataset,2,1,2,AB-XA,Turn Usurping,0,0.0,legislature_2_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,2,1,2,AB-XB,Turn Usurping,0,0.0,legislature_2_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,2,1,2,AB-A0,Turn Continuing,0,0.0,legislature_2_sample_1_segment_2_stats.json,False,True,0.0,0.0
final_dataset,2,1,2,AB-BY,Turn Receiving,0,0.0,legislature_2_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,2,1,2,AB-XY,Turn Usurping,0,0.0,legislature_2_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,2,1,2,AB-AY,Turn Continuing,0,0.0,legislature_2_sample_1_segment_2_stats.json,False,True,0.0,0.0
final_dataset,2,1,3,A0-XA,Turn Claiming,10,0.12,legislature_2_sample_1_segment_3_stats.json,True,False,0.14,0.14
final_dataset,2,1,3,A0-X0,Turn Claiming,62,0.75,legislature_2_sample_1_segment_3_stats.json,True,False,0.86,0.86
final_dataset,2,1,3,A0-XY,Turn Claiming,0,0.0,legislature_2_sample_1_segment_3_stats.json,True,False,0.0,0.0
final_dataset,2,1,3,A0-AY,Turn Continuing,0,0.0,legislature_2_sample_1_segment_3_stats.json,False,False,0.0,0.0
final_dataset,2,1,3,AB-BA,Turn Receiving,0,0.0,legislature_2_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,2,1,3,AB-B0,Turn Receiving,6,0.07,legislature_2_sample_1_segment_3_stats.json,True,True,0.55,0.67
final_dataset,2,1,3,AB-X0,Turn Usurping,3,0.04,legislature_2_sample_1_segment_3_stats.json,True,True,0.27,0.33
final_dataset,2,1,3,AB-XA,Turn Usurping,0,0.0,legislature_2_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,2,1,3,AB-XB,Turn Usurping,0,0.0,legislature_2_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,2,1,3,AB-A0,Turn Continuing,2,0.02,legislature_2_sample_1_segment_3_stats.json,False,True,0.18,0.0
final_dataset,2,1,3,AB-BY,Turn Receiving,0,0.0,legislature_2_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,2,1,3,AB-XY,Turn Usurping,0,0.0,legislature_2_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,2,1,3,AB-AY,Turn Continuing,0,0.0,legislature_2_sample_1_segment_3_stats.json,False,True,0.0,0.0
final_dataset,2,2,1,A0-XA,Turn Claiming,13,0.16,legislature_2_sample_2_segment_1_stats.json,True,False,0.65,0.65
final_dataset,2,2,1,A0-X0,Turn Claiming,7,0.09,legislature_2_sample_2_segment_1_stats.json,True,False,0.35,0.35
final_dataset,2,2,1,A0-XY,Turn Claiming,0,0.0,legislature_2_sample_2_segment_1_stats.json,True,False,0.0,0.0
final_dataset,2,2,1,A0-AY,Turn Continuing,0,0.0,legislature_2_sample_2_segment_1_stats.json,False,False,0.0,0.0
final_dataset,2,2,1,AB-BA,Turn Receiving,33,0.41,legislature_2_sample_2_segment_1_stats.json,True,True,0.54,0.54
final_dataset,2,2,1,AB-B0,Turn Receiving,8,0.1,legislature_2_sample_2_segment_1_stats.json,True,True,0.13,0.13
final_dataset,2,2,1,AB-X0,Turn Usurping,6,0.07,legislature_2_sample_2_segment_1_stats.json,True,True,0.1,0.1
final_dataset,2,2,1,AB-XA,Turn Usurping,14,0.17,legislature_2_sample_2_segment_1_stats.json,True,True,0.23,0.23
final_dataset,2,2,1,AB-XB,Turn Usurping,0,0.0,legislature_2_sample_2_segment_1_stats.json,True,True,0.0,0.0
final_dataset,2,2,1,AB-A0,Turn Continuing,0,0.0,legislature_2_sample_2_segment_1_stats.json,False,True,0.0,0.0
final_dataset,2,2,1,AB-BY,Turn Receiving,0,0.0,legislature_2_sample_2_segment_1_stats.json,True,True,0.0,0.0
final_dataset,2,2,1,AB-XY,Turn Usurping,0,0.0,legislature_2_sample_2_segment_1_stats.json,True,True,0.0,0.0
final_dataset,2,2,1,AB-AY,Turn Continuing,0,0.0,legislature_2_sample_2_segment_1_stats.json,False,True,0.0,0.0
final_dataset,2,2,2,A0-XA,Turn Claiming,16,0.19,legislature_2_sample_2_segment_2_stats.json,True,False,0.8,0.8
final_dataset,2,2,2,A0-X0,Turn Claiming,4,0.05,legislature_2_sample_2_segment_2_stats.json,True,False,0.2,0.2
final_dataset,2,2,2,A0-XY,Turn Claiming,0,0.0,legislature_2_sample_2_segment_2_stats.json,True,False,0.0,0.0
final_dataset,2,2,2,A0-AY,Turn Continuing,0,0.0,legislature_2_sample_2_segment_2_stats.json,False,False,0.0,0.0
final_dataset,2,2,2,AB-BA,Turn Receiving,32,0.39,legislature_2_sample_2_segment_2_stats.json,True,True,0.51,0.51
final_dataset,2,2,2,AB-B0,Turn Receiving,12,0.14,legislature_2_sample_2_segment_2_stats.json,True,True,0.19,0.19
final_dataset,2,2,2,AB-X0,Turn Usurping,8,0.1,legislature_2_sample_2_segment_2_stats.json,True,True,0.13,0.13
final_dataset,2,2,2,AB-XA,Turn Usurping,11,0.13,legislature_2_sample_2_segment_2_stats.json,True,True,0.17,0.17
final_dataset,2,2,2,AB-XB,Turn Usurping,0,0.0,legislature_2_sample_2_segment_2_stats.json,True,True,0.0,0.0
final_dataset,2,2,2,AB-A0,Turn Continuing,0,0.0,legislature_2_sample_2_segment_2_stats.json,False,True,0.0,0.0
final_dataset,2,2,2,AB-BY,Turn Receiving,0,0.0,legislature_2_sample_2_segment_2_stats.json,True,True,0.0,0.0
final_dataset,2,2,2,AB-XY,Turn Usurping,0,0.0,legislature_2_sample_2_segment_2_stats.json,True,True,0.0,0.0
final_dataset,2,2,2,AB-AY,Turn Continuing,0,0.0,legislature_2_sample_2_segment_2_stats.json,False,True,0.0,0.0
final_dataset,2,2,3,A0-XA,Turn Claiming,12,0.14,legislature_2_sample_2_segment_3_stats.json,True,False,0.4,0.4
final_dataset,2,2,3,A0-X0,Turn Claiming,18,0.22,legislature_2_sample_2_segment_3_stats.json,True,False,0.6,0.6
final_dataset,2,2,3,A0-XY,Turn Claiming,0,0.0,legislature_2_sample_2_segment_3_stats.json,True,False,0.0,0.0
final_dataset,2,2,3,A0-AY,Turn Continuing,0,0.0,legislature_2_sample_2_segment_3_stats.json,False,False,0.0,0.0
final_dataset,2,2,3,AB-BA,Turn Receiving,26,0.31,legislature_2_sample_2_segment_3_stats.json,True,True,0.49,0.49
final_dataset,2,2,3,AB-B0,Turn Receiving,7,0.08,legislature_2_sample_2_segment_3_stats.json,True,True,0.13,0.13
final_dataset,2,2,3,AB-X0,Turn Usurping,8,0.1,legislature_2_sample_2_segment_3_stats.json,True,True,0.15,0.15
final_dataset,2,2,3,AB-XA,Turn Usurping,12,0.14,legislature_2_sample_2_segment_3_stats.json,True,True,0.23,0.23
final_dataset,2,2,3,AB-XB,Turn Usurping,0,0.0,legislature_2_sample_2_segment_3_stats.json,True,True,0.0,0.0
final_dataset,2,2,3,AB-A0,Turn Continuing,0,0.0,legislature_2_sample_2_segment_3_stats.json,False,True,0.0,0.0
final_dataset,2,2,3,AB-BY,Turn Receiving,0,0.0,legislature_2_sample_2_segment_3_stats.json,True,True,0.0,0.0
final_dataset,2,2,3,AB-XY,Turn Usurping,0,0.0,legislature_2_sample_2_segment_3_stats.json,True,True,0.0,0.0
final_dataset,2,2,3,AB-AY,Turn Continuing,0,0.0,legislature_2_sample_2_segment_3_stats.json,False,True,0.0,0.0
final_dataset,3,1,1,A0-XA,Turn Claiming,2,0.02,legislature_3_sample_1_segment_1_stats.json,True,False,0.03,0.03
final_dataset,3,1,1,A0-X0,Turn Claiming,78,0.95,legislature_3_sample_1_segment_1_stats.json,True,False,0.97,0.97
final_dataset,3,1,1,A0-XY,Turn Claiming,0,0.0,legislature_3_sample_1_segment_1_stats.json,True,False,0.0,0.0
final_dataset,3,1,1,A0-AY,Turn Continuing,0,0.0,legislature_3_sample_1_segment_1_stats.json,False,False,0.0,0.0
final_dataset,3,1,1,AB-BA,Turn Receiving,0,0.0,legislature_3_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,3,1,1,AB-B0,Turn Receiving,2,0.02,legislature_3_sample_1_segment_1_stats.json,True,True,1.0,1.0
final_dataset,3,1,1,AB-X0,Turn Usurping,0,0.0,legislature_3_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,3,1,1,AB-XA,Turn Usurping,0,0.0,legislature_3_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,3,1,1,AB-XB,Turn Usurping,0,0.0,legislature_3_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,3,1,1,AB-A0,Turn Continuing,0,0.0,legislature_3_sample_1_segment_1_stats.json,False,True,0.0,0.0
final_dataset,3,1,1,AB-BY,Turn Receiving,0,0.0,legislature_3_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,3,1,1,AB-XY,Turn Usurping,0,0.0,legislature_3_sample_1_segment_1_stats.json,True,True,0.0,0.0
final_dataset,3,1,1,AB-AY,Turn Continuing,0,0.0,legislature_3_sample_1_segment_1_stats.json,False,True,0.0,0.0
final_dataset,3,1,2,A0-XA,Turn Claiming,3,0.04,legislature_3_sample_1_segment_2_stats.json,True,False,0.04,0.04
final_dataset,3,1,2,A0-X0,Turn Claiming,78,0.93,legislature_3_sample_1_segment_2_stats.json,True,False,0.96,0.96
final_dataset,3,1,2,A0-XY,Turn Claiming,0,0.0,legislature_3_sample_1_segment_2_stats.json,True,False,0.0,0.0
final_dataset,3,1,2,A0-AY,Turn Continuing,0,0.0,legislature_3_sample_1_segment_2_stats.json,False,False,0.0,0.0
final_dataset,3,1,2,AB-BA,Turn Receiving,0,0.0,legislature_3_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,3,1,2,AB-B0,Turn Receiving,1,0.01,legislature_3_sample_1_segment_2_stats.json,True,True,0.33,0.33
final_dataset,3,1,2,AB-X0,Turn Usurping,2,0.02,legislature_3_sample_1_segment_2_stats.json,True,True,0.67,0.67
final_dataset,3,1,2,AB-XA,Turn Usurping,0,0.0,legislature_3_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,3,1,2,AB-XB,Turn Usurping,0,0.0,legislature_3_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,3,1,2,AB-A0,Turn Continuing,0,0.0,legislature_3_sample_1_segment_2_stats.json,False,True,0.0,0.0
final_dataset,3,1,2,AB-BY,Turn Receiving,0,0.0,legislature_3_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,3,1,2,AB-XY,Turn Usurping,0,0.0,legislature_3_sample_1_segment_2_stats.json,True,True,0.0,0.0
final_dataset,3,1,2,AB-AY,Turn Continuing,0,0.0,legislature_3_sample_1_segment_2_stats.json,False,True,0.0,0.0
final_dataset,3,1,3,A0-XA,Turn Claiming,6,0.07,legislature_3_sample_1_segment_3_stats.json,True,False,0.08,0.08
final_dataset,3,1,3,A0-X0,Turn Claiming,72,0.86,legislature_3_sample_1_segment_3_stats.json,True,False,0.92,0.92
final_dataset,3,1,3,A0-XY,Turn Claiming,0,0.0,legislature_3_sample_1_segment_3_stats.json,True,False,0.0,0.0
final_dataset,3,1,3,A0-AY,Turn Continuing,0,0.0,legislature_3_sample_1_segment_3_stats.json,False,False,0.0,0.0
final_dataset,3,1,3,AB-BA,Turn Receiving,0,0.0,legislature_3_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,3,1,3,AB-B0,Turn Receiving,2,0.02,legislature_3_sample_1_segment_3_stats.json,True,True,0.33,0.33
final_dataset,3,1,3,AB-X0,Turn Usurping,4,0.05,legislature_3_sample_1_segment_3_stats.json,True,True,0.67,0.67
final_dataset,3,1,3,AB-XA,Turn Usurping,0,0.0,legislature_3_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,3,1,3,AB-XB,Turn Usurping,0,0.0,legislature_3_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,3,1,3,AB-A0,Turn Continuing,0,0.0,legislature_3_sample_1_segment_3_stats.json,False,True,0.0,0.0
final_dataset,3,1,3,AB-BY,Turn Receiving,0,0.0,legislature_3_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,3,1,3,AB-XY,Turn Usurping,0,0.0,legislature_3_sample_1_segment_3_stats.json,True,True,0.0,0.0
final_dataset,3,1,3,AB-AY,Turn Continuing,0,0.0,legislature_3_sample_1_segment_3_stats.json,False,True,0.0,0.0
final_dataset,3,2,1,A0-XA,Turn Claiming,17,0.19,legislature_3_sample_2_segment_1_stats.json,True,False,0.85,0.85
final_dataset,3,2,1,A0-X0,Turn Claiming,3,0.03,legislature_3_sample_2_segment_1_stats.json,True,False,0.15,0.15
final_dataset,3,2,1,A0-XY,Turn Claiming,0,0.0,legislature_3_sample_2_segment_1_stats.json,True,False,0.0,0.0
final_dataset,3,2,1,A0-AY,Turn Continuing,0,0.0,legislature_3_sample_2_segment_1_stats.json,False,False,0.0,0.0
final_dataset,3,2,1,AB-BA,Turn Receiving,42,0.48,legislature_3_sample_2_segment_1_stats.json,True,True,0.62,0.62
final_dataset,3,2,1,AB-B0,Turn Receiving,12,0.14,legislature_3_sample_2_segment_1_stats.json,True,True,0.18,0.18
final_dataset,3,2,1,AB-X0,Turn Usurping,2,0.02,legislature_3_sample_2_segment_1_stats.json,True,True,0.03,0.03
final_dataset,3,2,1,AB-XA,Turn Usurping,12,0.14,legislature_3_sample_2_segment_1_stats.json,True,True,0.18,0.18
final_dataset,3,2,1,AB-XB,Turn Usurping,0,0.0,legislature_3_sample_2_segment_1_stats.json,True,True,0.0,0.0
final_dataset,3,2,1,AB-A0,Turn Continuing,0,0.0,legislature_3_sample_2_segment_1_stats.json,False,True,0.0,0.0
final_dataset,3,2,1,AB-BY,Turn Receiving,0,0.0,legislature_3_sample_2_segment_1_stats.json,True,True,0.0,0.0
final_dataset,3,2,1,AB-XY,Turn Usurping,0,0.0,legislature_3_sample_2_segment_1_stats.json,True,True,0.0,0.0
final_dataset,3,2,1,AB-AY,Turn Continuing,0,0.0,legislature_3_sample_2_segment_1_stats.json,False,True,0.0,0.0
final_dataset,3,2,2,A0-XA,Turn Claiming,30,0.34,legislature_3_sample_2_segment_2_stats.json,True,False,0.94,0.94
final_dataset,3,2,2,A0-X0,Turn Claiming,2,0.02,legislature_3_sample_2_segment_2_stats.json,True,False,0.06,0.06
final_dataset,3,2,2,A0-XY,Turn Claiming,0,0.0,legislature_3_sample_2_segment_2_stats.json,True,False,0.0,0.0
final_dataset,3,2,2,A0-AY,Turn Continuing,0,0.0,legislature_3_sample_2_segment_2_stats.json,False,False,0.0,0.0
final_dataset,3,2,2,AB-BA,Turn Receiving,20,0.22,legislature_3_sample_2_segment_2_stats.json,True,True,0.35,0.35
